name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Agargaon,2023-01-01T00:00:00,15.7,15.7,14.1,90.34,0,0,,0,0,7.9,0,0,1018.8,0,2.9,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
Agargaon,2023-01-01T01:00:00,18.5,18.5,16,85.63,0,0,,0,0,9,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,4.1,33,1017.5,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-01T03:00:00,14.7,14.7,14.1,95.93,0,0,,0,0,10.1,0.2,50,1018.9,0,2,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
Agargaon,2023-01-01T04:00:00,16.5,16.5,15.5,93.81,0,0,,0,0,9.7,2.4,50,1018,89.1,0.5,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
Agargaon,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,9,0,0,1018,89.1,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
Agargaon,2023-01-01T06:00:00,14.2,14.2,14.1,99.17,0,0,,0,0,6.8,0,66.6,1018.6,89.1,1.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,6.1,0,0,1019,89.1,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,89.1,0,117,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-01T09:00:00,15.9,15.9,15.1,94.96,0,0,,0,0,7.9,0,42.4,1021.2,89.2,2.9,323,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.6,0,0,1021,89.1,0,506,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-01T11:00:00,19,19,17,88.19,0,0,,0,0,7.9,7.6,100,1021,50,1,640,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-01T12:00:00,22,22,14.1,61.09,0,0,,0,0,8.6,7.6,343,1020.2,50,3.9,712,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T13:00:00,21,21,17,77.92,0,0,,0,0,10.4,9.4,60,1019,0,2,715,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
Agargaon,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,12.2,14.8,60,1018,0,2,649,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
Agargaon,2023-01-01T15:00:00,23.6,23.6,13.1,51.7,0,0,,0,0,11.9,0.4,39,1017.2,0,4,520,1.9,5,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T16:00:00,23,23,13,53.32,0,0,,0,0,12.2,0,0,1017,0,3,340,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
Agargaon,2023-01-01T17:00:00,22,22,13,56.66,0,0,,0,0,11.9,0,0,1017,0,3,134,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
Agargaon,2023-01-01T18:00:00,19.6,19.6,14,70.2,0,0,,0,0,15.1,0,0,1017.5,0,3,5,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T19:00:00,20,20,13,64.07,0,0,,0,0,16.9,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-01T20:00:00,20,20,14,68.38,0,0,,0,0,12.6,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-01T21:00:00,16.8,16.8,15,89.68,0,0,,0,0,10.8,0.2,60,1019.2,0,3,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-01T22:00:00,20,20,15,72.94,0,0,,0,0,10.1,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-01T23:00:00,20,20,15,72.94,0,0,,0,0,10.4,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-02T00:00:00,15.8,15.8,15.1,95.57,0,0,,0,0,9.4,0,358,1018.8,0,3,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-02T01:00:00,19,19,15,77.62,0,0,,0,0,9.7,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-02T02:00:00,19,19,15,77.62,0,0,,0,0,10.1,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-02T03:00:00,15.6,15.6,14.1,90.52,0,0,,0,0,9.7,0,358,1018.6,0,2.9,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-02T04:00:00,17,17,15,88.01,0,0,,0,0,9.7,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-02T05:00:00,17,17,16,93.84,0,0,,0,0,9.7,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Agargaon,2023-01-02T06:00:00,14.7,14.7,14.1,96.15,0,0,,0,0,10.1,0,3.7,1018,0,2,0,0,0,10,Clear,clear-night,"41941099999,41923099999,41929099999,41922099999,41909099999"
Agargaon,2023-01-02T07:00:00,15,15,14,93.75,0,0,,0,0,9,0,0,1019,89.1,1,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-02T08:00:00,16,16,15,93.79,0,0,,0,0,11.2,0,0,1020,89.1,1,118,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-02T09:00:00,19.6,19.6,12.2,62.23,0,0,,0,0,10.1,0,360,1020.8,89.1,2.9,327,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-02T10:00:00,20,20,17,82.87,0,0,,0,0,8.3,0,360,1021,89.1,2,513,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-02T11:00:00,22,22,18,78.06,0,0,,0,0,8.6,7.6,360,1021,50,2,649,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Agargaon,2023-01-02T12:00:00,24,24,12.2,47.7,0,0,,0,0,9.7,0.1,340,1019.8,1.6,4.9,724,2.6,7,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Agargaon,2023-01-02T13:00:00,23,23,17,68.97,0,0,,0,0,10.4,11.2,340,1019,0,3,727,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
