name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Dhaka University,2023-01-01T00:00:00,18.9,18.9,15,78.1,0,0,,0,0,7.6,0,0,1018.6,0,1.1,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
Dhaka University,2023-01-01T01:00:00,18.6,18.6,16,85.07,0,0,,0,0,8.3,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,3.3,27,1017.6,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-01T03:00:00,16.9,16.9,15,88.34,0,0,,0,0,11.2,8.5,50,1017.1,0,1,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T04:00:00,16.6,16.6,15.6,93.82,0,0,,0,0,11.2,3,50,1018,88.9,0.6,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
Dhaka University,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,10.8,0,0,1018,88.9,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
Dhaka University,2023-01-01T06:00:00,15.9,15.9,15,94.01,0,0,,0,0,7.9,0,63.6,1018,88.9,0.1,0,0,0,10,Partially cloudy,fog,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,6.8,0,0,1019,88.9,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,88.9,0,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-01T09:00:00,16.9,16.9,16,93.89,0,0,,0,0,8.3,0,39.8,1021,88.9,0.1,327,1.2,3,10,Partially cloudy,fog,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.9,0,0,1021,88.9,0,510,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-01T11:00:00,19,19,17,88.19,0,0,,0,0,8.6,7.6,100,1021,50,1,643,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-01T12:00:00,20.1,20.1,16.9,81.81,0,0,,0,0,9.4,7.6,86,1020,50,1.1,714,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T13:00:00,21,21,17,77.91,0,0,,0,0,10.8,9.4,60,1019,0,2,717,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,13,14.8,60,1018,0,2,649,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-01T15:00:00,23,23,14.9,60.28,0,0,,0,0,13.7,12.4,40,1017,0,3,519,1.9,5,10,Clear,clear-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T16:00:00,23,23,13,53.32,0,0,,0,0,13.7,0,0,1017,0,3,338,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-01T17:00:00,22,22,13,56.66,0,0,,0,0,11.5,0,0,1017,0,3,131,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-01T18:00:00,20.9,20.9,13,60.64,0,0,,0,0,12.6,0,0,1017,0,3,4,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T19:00:00,20,20,13,64.07,0,0,,0,0,15.5,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-01T20:00:00,20,20,14,68.38,0,0,,0,0,14.8,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-01T21:00:00,19.9,19.9,15,73.58,0,0,,0,0,13,5.2,60,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-01T22:00:00,20,20,15,72.94,0,0,,0,0,12.6,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-01T23:00:00,20,20,15,72.94,0,0,,0,0,13,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T00:00:00,19.8,19.8,16,78.44,0,0,,0,0,10.8,0,360,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T01:00:00,19,19,15,77.61,0,0,,0,0,10.1,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T02:00:00,19,19,15,77.61,0,0,,0,0,11.2,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T03:00:00,17.9,17.9,15,82.95,0,0,,0,0,10.4,0,360,1017.1,0,1.1,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T04:00:00,17,17,15,88.01,0,0,,0,0,10.8,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T05:00:00,17,17,16,93.84,0,0,,0,0,9.4,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T06:00:00,15.9,15.9,15,94.01,0,0,,0,0,10.1,0,10.3,1018,0,1.1,0,0,0,10,Clear,clear-night,"41941099999,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T07:00:00,15,15,14,93.75,0,0,,0,0,9.4,0,0,1019,88.9,1,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-02T08:00:00,16,16,15,93.79,0,0,,0,0,10.4,0,0,1020,88.9,1,122,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-02T09:00:00,18.1,18.1,15.8,86.87,0,0,,0,0,9.4,0,360,1021,88.9,1.1,331,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T10:00:00,20,20,17,82.87,0,0,,0,0,7.9,0,360,1021,88.9,2,516,1.9,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-02T11:00:00,22,22,18,78.06,0,0,,0,0,7.9,7.6,360,1021,50,2,651,2.3,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-02T12:00:00,23,23,17.8,72.17,0,0,,0,0,7.9,4.9,340,1020,48,3.1,724,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T13:00:00,23,23,17,68.97,0,0,,0,0,8.6,11.2,340,1019,0,3,726,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-02T14:00:00,24,24,16,60.93,0,0,,0,0,8.3,9.4,330,1018,0,3,659,2.4,7,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-02T15:00:00,24.1,24.1,14.8,56.27,0,0,,0,0,10.1,9,350,1017,0,4,528,1.9,5,10,Clear,clear-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T16:00:00,24,24,14,53.57,0,0,,0,0,10.1,9.4,340,1017,0,4,345,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-02T17:00:00,24,24,15,57.15,0,0,,0,0,11.5,7.6,330,1017,0,4,136,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-02T18:00:00,22.9,22.9,14,57.25,0,0,,0,0,14.8,0,306.1,1018,0,4,5,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T19:00:00,22,22,14,60.47,0,0,,0,0,17.3,0,0,1019,0,4,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T20:00:00,22,22,14,60.47,0,0,,0,0,16.2,0,0,1019,0,4,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T21:00:00,21.8,21.8,14,61.25,0,0,,0,0,13.3,0,320.8,1020,0,3,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-02T22:00:00,20,20,14,68.38,0,0,,0,0,11.2,0,0,1020,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-02T23:00:00,19,19,13,68.18,0,0,,0,0,11.2,0,0,1020,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-03T00:00:00,19,19,14,72.8,0,0,,0,0,10.4,0,339.6,1020,0,3,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T01:00:00,19,19,14,72.76,0,0,,0,0,12.2,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-03T02:00:00,19,19,15,77.61,0,0,,0,0,13.7,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-03T03:00:00,17.9,17.9,14,78.18,0,0,,0,0,14.8,0,353.4,1018.1,0,2,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T04:00:00,17,17,14,82.51,0,0,,0,0,13.3,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-03T05:00:00,17,17,15,88.01,0,0,,0,0,11.5,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Dhaka University,2023-01-03T06:00:00,15.9,15.9,14,88.25,0,0,,0,0,7.9,0,360,1018,0,1.1,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T07:00:00,16,16,14,87.93,0,0,,0,0,10.8,0,360,1020,0,1,3,0,0,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-03T08:00:00,16,16,15,93.79,0,0,,0,0,9.7,11.2,280,1021,0,1,121,0.4,1,10,Clear,clear-day,"VGHS,41922099999"
Dhaka University,2023-01-03T09:00:00,17.9,17.9,16.9,93.65,0,0,,0,0,11.5,10.8,308,1021,86.9,0.1,330,1.2,3,10,Partially cloudy,fog,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T10:00:00,19,19,18,93.93,0,0,,0,0,10.1,11.2,330,1022,88.9,0,516,1.9,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T11:00:00,21,21,20,94.02,0,0,,0,0,12.2,9.4,300,1021,88.9,1,653,2.4,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T12:00:00,22.8,22.8,21.7,93.34,0,0,,0,0,10.4,13.8,286,1020,50,1.1,726,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T13:00:00,24,24,21,83.34,0,0,,0,0,10.4,11.2,300,1019,50,1,726,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T14:00:00,24,24,20,78.35,0,0,,0,0,10.4,14.8,280,1018,50,2,658,2.4,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T15:00:00,24,24,18,69.19,0,0,,0,0,9.7,18.3,300,1017,50.1,2,527,1.9,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T16:00:00,24,24,16,60.93,0,0,,0,0,9,14.8,310,1017,50,2,345,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T17:00:00,24,24,17,64.93,0,0,,0,0,10.4,9.4,250,1017,50,3,136,0.5,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Dhaka University,2023-01-03T18:00:00,22.8,22.8,16,65.51,0,0,,0,0,10.4,10.8,241,1017,49.6,2,5,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Dhaka University,2023-01-03T19:00:00,22,22,15,64.5,0,0,,0,0,11.5,14.8,280,1018,50,2,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
Dhaka University,2023-01-03T20:00:00,22,22,15,64.5,0,0,,0,0,15.5,14.8,270,1019,50,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
