name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Mohammadpur Bazar dhaka,2023-01-01T00:00:00,14.1,14.1,5.1,54.64,0,0,,0,0,6.8,6.5,15.3,1019,0.8,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T01:00:00,13.6,13.6,5.3,57.23,0,0,,0,0,5.4,5.4,16.6,1019,3.5,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T02:00:00,13.3,13.3,5.4,58.77,0,0,,0,0,4.3,4.7,18.9,1019,0.8,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T03:00:00,13,13,5.4,59.93,0,0,,0,0,4.7,4.7,26,1018,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T04:00:00,12.7,12.7,5.4,61.12,0,0,,0,0,3.2,3.2,46.8,1018,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T05:00:00,10.4,10.4,9.7,95.42,0,0,,0,0,5,3.6,330,1018.4,0,4,0,0,0,10,Clear,clear-night,44449099999
Mohammadpur Bazar dhaka,2023-01-01T06:00:00,12.2,12.2,5.5,63.6,0,0,,0,0,5.8,5.8,53.5,1019,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T07:00:00,12,12,5.6,64.89,0,0,,0,0,5.8,5.8,77.3,1020,0,24.1,0,0,0,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T08:00:00,12.9,12.9,11.8,92.99,0,0,,0,0,6.5,0.8,20,1016.6,0,3.4,38,0.1,0,10,Clear,clear-day,"42387099999,44449099999"
Mohammadpur Bazar dhaka,2023-01-01T09:00:00,16.4,16.4,6.6,52.29,0,0,,0,0,9.7,7.9,87.1,1021,0,24.1,214,0.8,2,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T10:00:00,18.9,18.9,6.7,44.97,0,0,,0,0,11.5,10.1,106.5,1022,0,24.1,401,1.4,4,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T11:00:00,21.4,21.4,13.7,61.51,0,0,,0,0,9.7,3.6,210,1021.4,0,6,548,2,5,10,Clear,clear-day,44449099999
Mohammadpur Bazar dhaka,2023-01-01T12:00:00,21.9,21.9,6.1,35.85,0,0,,0,0,9.7,9.4,126.4,1021,0,24.1,640,2.3,6,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T13:00:00,22.7,22.7,5.7,33.22,0,0,,0,0,5.8,6.5,155.3,1020,0,24.1,666,2.4,7,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T14:00:00,22.7,22.7,12.9,53.93,0,0,,0,0,4,7.2,140,1017.8,0,7,623,2.2,6,10,Clear,clear-day,44449099999
Mohammadpur Bazar dhaka,2023-01-01T15:00:00,23.3,23.3,5.2,30.94,0,0,,0,0,3.6,4.7,219.6,1018,0,24.1,517,1.9,5,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T16:00:00,23.1,23.1,5,30.88,0,0,,0,0,2.9,3.6,254.4,1017,0,24.1,357,1.3,4,10,Clear,clear-day,remote
Mohammadpur Bazar dhaka,2023-01-01T17:00:00,18.4,18.4,15,80.53,0,0,,0,0,4,0.3,310,1018.7,0,2,166,0.6,2,10,Clear,clear-day,"42387099999,42383099999,44449099999"
Mohammadpur Bazar dhaka,2023-01-01T18:00:00,18.3,18.3,5.1,41.8,0,0,,0,0,4.3,4.3,276.4,1018,0,24.1,16,0.1,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T19:00:00,17.3,17.3,5.1,44.52,0,0,,0,0,5.4,5.4,305.4,1019,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T20:00:00,16.7,16.7,5.2,46.57,0,0,,0,0,5.4,5.4,315.3,1020,0.2,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T21:00:00,15.7,15.7,5.5,50.68,0,0,,0,0,4.3,4.3,334,1020,4.6,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T22:00:00,15.2,15.2,5.7,53.06,0,0,,0,0,6.1,6.1,354.2,1020,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-01T23:00:00,14.5,14.5,6,56.67,0,0,,0,0,6.8,7.2,7.7,1020,0,24.1,0,0,0,10,Clear,clear-night,remote
Mohammadpur Bazar dhaka,2023-01-02T00:00:00,14,14,6.2,59.35,0,0,,0,0,7.2,7.2,2.2,1020,0,24.1,0,0,0,10,Clear,clear-night,remote
