name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Tongi,2023-01-01T00:00:00,18.7,18.7,14.9,78.79,0,0,,0,0,7.2,0,0,1018.6,0,1.2,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
Tongi,2023-01-01T01:00:00,18.5,18.5,16,85.09,0,0,,0,0,7.2,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Tongi,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,6.8,3.4,27,1017.6,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Tongi,2023-01-01T03:00:00,16.7,16.7,14.9,88.89,0,0,,0,0,7.2,7.3,50,1017.2,0,1.1,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T04:00:00,16.5,16.5,15.5,93.82,0,0,,0,0,7.9,3,50,1018,88.9,0.6,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
Tongi,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,8.3,0,0,1018,88.9,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
Tongi,2023-01-01T06:00:00,15.8,15.8,14.9,94.33,0,0,,0,0,6.8,0,75.5,1018.1,88.9,0.2,0,0,0,10,Partially cloudy,fog,"VGHS,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,5.8,0,0,1019,88.9,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Tongi,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,88.9,0,118,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Tongi,2023-01-01T09:00:00,16.9,16.9,15.9,93.95,0,0,,0,0,7.9,0,40.9,1021,88.9,0.3,324,1.2,3,10,Partially cloudy,fog,"VGHS,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.6,0,0,1021,88.9,0,506,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Tongi,2023-01-01T11:00:00,19,19,17,88.19,0,0,,0,0,7.6,7.6,100,1021,50,1,640,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Tongi,2023-01-01T12:00:00,20.2,20.2,16.7,80.25,0,0,,0,0,8.6,7.5,79,1020,50,1.3,710,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T13:00:00,21,21,17,77.91,0,0,,0,0,9.7,9.4,60,1019,0,2,712,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
Tongi,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,11.5,14.8,60,1018,0,2,645,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
Tongi,2023-01-01T15:00:00,23.1,23.1,14.8,59.6,0,0,,0,0,11.5,11.6,40,1017,0,3.1,514,1.9,5,10,Clear,clear-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T16:00:00,23,23,13,53.32,0,0,,0,0,11.2,0,0,1017,0,3,334,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
Tongi,2023-01-01T17:00:00,22,22,13,56.66,0,0,,0,0,7.9,0,0,1017,0,3,129,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
Tongi,2023-01-01T18:00:00,20.8,20.8,13.1,61.31,0,0,,0,0,8.3,0,0,1017.1,0,3,4,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
Tongi,2023-01-01T19:00:00,20,20,13,64.07,0,0,,0,0,10.1,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Tongi,2023-01-01T20:00:00,20,20,14,68.38,0,0,,0,0,10.8,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Tongi,2023-01-01T21:00:00,19.6,19.6,15,74.61,0,0,,0,0,8.3,4.8,60,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
