name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
mohakhali dhaka,2023-01-01T00:00:00,15.8,15.8,14.1,89.82,0,0,,0,0,7.6,0,0,1018.8,0,2.9,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
mohakhali dhaka,2023-01-01T01:00:00,18.5,18.5,16,85.64,0,0,,0,0,8.3,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,4.2,33,1017.5,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T03:00:00,14.8,14.8,14.1,95.62,0,0,,0,0,11.2,0.4,50,1018.9,0,1.9,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
mohakhali dhaka,2023-01-01T04:00:00,16.5,16.5,15.5,93.81,0,0,,0,0,11.2,2.4,50,1018,89.1,0.5,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,10.8,0,0,1018,89.1,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T06:00:00,14.3,14.3,14.1,98.96,0,0,,0,0,7.9,0,63.6,1018.6,89.1,1.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
mohakhali dhaka,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,6.8,0,0,1019,89.1,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,89.1,0,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
mohakhali dhaka,2023-01-01T09:00:00,15.9,15.9,15.1,94.92,0,0,,0,0,8.3,0,39.8,1021.2,89.2,2.8,327,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
