name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
tejkunipara dhaka,2023-01-01T00:00:00,15.9,15.9,14.1,89.37,0,0,,0,0,7.6,0,0,1018.8,0,2.8,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
tejkunipara dhaka,2023-01-01T01:00:00,18.5,18.5,16,85.59,0,0,,0,0,8.3,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,4.1,32,1017.5,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T03:00:00,14.9,14.9,14.1,95.35,0,0,,0,0,11.2,0.5,50,1018.8,0,1.9,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
tejkunipara dhaka,2023-01-01T04:00:00,16.5,16.5,15.5,93.81,0,0,,0,0,11.2,2.5,50,1018,89.1,0.5,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,10.8,0,0,1018,89.1,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T06:00:00,14.3,14.3,14.1,98.78,0,0,,0,0,7.9,0,63.6,1018.5,89.1,1.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,6.8,0,0,1019,89.1,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,89.1,0,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T09:00:00,16,16,15.1,94.88,0,0,,0,0,8.3,0,39.8,1021.2,89.2,2.7,327,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.9,0,0,1021,89.1,0,510,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T11:00:00,19,19,17,88.19,0,0,,0,0,8.6,7.6,100,1021,50,1,643,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T12:00:00,21.8,21.8,14.3,62.42,0,0,,0,0,9.4,7.6,351,1020.2,50,3.7,714,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T13:00:00,21,21,17,77.92,0,0,,0,0,10.8,9.4,60,1019,0,2,717,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,13,14.8,60,1018,0,2,649,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T15:00:00,23.6,23.6,13.2,52.27,0,0,,0,0,13.7,1.3,39,1017.2,0,3.9,519,1.9,5,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T16:00:00,23,23,13,53.32,0,0,,0,0,13.7,0,0,1017,0,3,338,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T17:00:00,22,22,13,56.66,0,0,,0,0,11.5,0,0,1017,0,3,131,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T18:00:00,19.7,19.7,14,69.46,0,0,,0,0,12.6,0,0,1017.5,0,3,4,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T19:00:00,20,20,13,64.07,0,0,,0,0,15.5,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T20:00:00,20,20,14,68.38,0,0,,0,0,14.8,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T21:00:00,17,17,15,88.39,0,0,,0,0,13,0.5,60,1019.2,0,3,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-01T22:00:00,20,20,15,72.94,0,0,,0,0,12.6,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-01T23:00:00,20,20,15,72.94,0,0,,0,0,13,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T00:00:00,16.1,16.1,15.1,94.18,0,0,,0,0,10.8,0,358,1018.7,0,2.9,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-02T01:00:00,19,19,15,77.62,0,0,,0,0,10.1,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T02:00:00,19,19,15,77.62,0,0,,0,0,11.2,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T03:00:00,15.8,15.8,14.1,89.94,0,0,,0,0,10.4,0,358,1018.4,0,2.8,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-02T04:00:00,17,17,15,88.01,0,0,,0,0,10.8,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T05:00:00,17,17,16,93.84,0,0,,0,0,9.4,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T06:00:00,14.7,14.7,14.1,96.06,0,0,,0,0,10.1,0,10.3,1018,0,1.9,0,0,0,10,Clear,clear-night,"41941099999,41923099999,41929099999,41922099999,41939099999"
tejkunipara dhaka,2023-01-02T07:00:00,15,15,14,93.75,0,0,,0,0,9.4,0,0,1019,89.1,1,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T08:00:00,16,16,15,93.79,0,0,,0,0,10.4,0,0,1020,89.1,1,122,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T09:00:00,19.5,19.5,12.4,63.82,0,0,,0,0,9.4,0,360,1020.8,89.1,2.8,331,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-02T10:00:00,20,20,17,82.87,0,0,,0,0,7.9,0,360,1021,89.1,2,516,1.9,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T11:00:00,22,22,18,78.06,0,0,,0,0,7.9,7.6,360,1021,50,2,651,2.3,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T12:00:00,23.9,23.9,12.6,49.21,0,0,,0,0,7.9,0.3,340,1019.8,5,4.8,724,2.6,7,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-02T13:00:00,23,23,17,68.97,0,0,,0,0,8.6,11.2,340,1019,0,3,726,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T14:00:00,24,24,16,60.93,0,0,,0,0,8.3,9.4,330,1018,0,3,659,2.4,7,10,Clear,clear-day,"VGHS,41922099999"
tejkunipara dhaka,2023-01-02T15:00:00,25.8,25.8,11.4,40.59,0,0,,0,0,10.1,0.9,350,1017.5,0.1,4.9,528,1.9,5,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
tejkunipara dhaka,2023-01-02T16:00:00,24,24,14,53.58,0,0,,0,0,10.1,9.4,340,1017,0,4,345,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
