name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
uttara dhaka,2023-01-01T00:00:00,18.9,18.9,15,77.8,0,0,,0,0,7.6,0,0,1018.7,0,1,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
uttara dhaka,2023-01-01T01:00:00,18.7,18.7,16,84.33,0,0,,0,0,8.3,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,2.3,18,1017.7,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T03:00:00,16.9,16.9,15,88.15,0,0,,0,0,11.2,8.9,50,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T04:00:00,16.7,16.7,15.7,93.82,0,0,,0,0,11.2,3.8,50,1018,88.6,0.7,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
uttara dhaka,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,10.8,0,0,1018,88.6,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T06:00:00,15.9,15.9,15,93.88,0,0,,0,0,7.9,0,63.6,1018,88.6,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T07:00:00,15,15,14,93.74,0,0,,0,0,6.8,0,0,1019,88.6,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,88.6,0,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T09:00:00,17,17,16,93.86,0,0,,0,0,8.3,0,39.8,1021,88.6,0,327,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.9,0,0,1021,88.6,0,510,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T11:00:00,19,19,17,88.18,0,0,,0,0,8.6,7.6,100,1021,50,1,643,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T12:00:00,20,20,16.9,82.44,0,0,,0,0,9.4,7.6,88,1020,50,1.1,714,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T13:00:00,21,21,17,77.91,0,0,,0,0,10.8,9.4,60,1019,0,2,717,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,13,14.8,60,1018,0,2,649,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T15:00:00,23,23,14.9,60.53,0,0,,0,0,13.7,12.7,40,1017,0,3,519,1.9,5,10,Clear,clear-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T16:00:00,23,23,13,53.31,0,0,,0,0,13.7,0,0,1017,0,3,338,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T17:00:00,22,22,13,56.65,0,0,,0,0,11.5,0,0,1017,0,3,131,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-01T18:00:00,21,21,13,60.39,0,0,,0,0,12.6,0,0,1017,0,3,4,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T19:00:00,20,20,13,64.06,0,0,,0,0,15.5,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T20:00:00,20,20,14,68.37,0,0,,0,0,14.8,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T21:00:00,19.9,19.9,15,73.19,0,0,,0,0,13,5.3,60,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-01T22:00:00,20,20,15,72.94,0,0,,0,0,12.6,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-01T23:00:00,20,20,15,72.94,0,0,,0,0,13,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-02T00:00:00,19.9,19.9,16,78.03,0,0,,0,0,10.8,0,360,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T01:00:00,19,19,15,77.61,0,0,,0,0,10.1,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-02T02:00:00,19,19,15,77.61,0,0,,0,0,11.2,0,0,1018,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-02T03:00:00,17.9,17.9,15,82.76,0,0,,0,0,10.4,0,360,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T04:00:00,17,17,15,88.01,0,0,,0,0,10.8,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-02T05:00:00,17,17,16,93.84,0,0,,0,0,9.4,0,0,1017,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
uttara dhaka,2023-01-02T06:00:00,16,16,15,93.92,0,0,,0,0,10.1,0,10.3,1018,0,1.1,0,0,0,10,Clear,clear-night,"41941099999,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T07:00:00,15,15,14,93.74,0,0,,0,0,9.4,0,0,1019,88.6,1,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T08:00:00,16,16,15,93.79,0,0,,0,0,10.4,0,0,1020,88.6,1,122,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T09:00:00,18,18,15.9,87.6,0,0,,0,0,9.4,0,360,1021,88.6,1,331,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T10:00:00,20,20,17,82.87,0,0,,0,0,7.9,0,360,1021,88.6,2,516,1.9,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T11:00:00,22,22,18,78.06,0,0,,0,0,7.9,7.6,360,1021,50,2,651,2.3,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T12:00:00,23,23,17.9,72.94,0,0,,0,0,7.9,5.1,340,1020,49.2,3,724,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T13:00:00,23,23,17,68.97,0,0,,0,0,8.6,11.2,340,1019,0,3,726,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T14:00:00,24,24,16,60.93,0,0,,0,0,8.3,9.4,330,1018,0,3,659,2.4,7,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T15:00:00,24,24,14.9,56.79,0,0,,0,0,10.1,9.2,350,1017,0,4,528,1.9,5,10,Clear,clear-day,"VGHS,41923099999,41929099999,41922099999,41909099999"
uttara dhaka,2023-01-02T16:00:00,24,24,14,53.57,0,0,,0,0,10.1,9.4,340,1017,0,4,345,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
uttara dhaka,2023-01-02T17:00:00,24,24,15,57.15,0,0,,0,0,11.5,7.6,330,1017,0,4,136,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
